,SOI,nino
1950-01-01,0.570492283299991,-1.84
1950-02-01,1.642897110809131,-1.63
1950-03-01,1.7458488331453068,-1.3
1950-04-01,1.8953161777858345,-1.43
1950-05-01,0.7486727622207335,-1.72
1950-06-01,2.7129664106468625,-1.17
1950-07-01,2.083015745855139,-0.86
1950-08-01,1.147656550641308,-0.95
1950-09-01,0.6255069712545226,-1.04
1950-10-01,1.6266674525145242,-0.83
1950-11-01,1.1832335684352566,-1.1
1950-12-01,2.292121930820888,-1.19
1951-01-01,1.8208863288896782,-1.21
1951-02-01,0.8171986367883551,-1.05
1951-03-01,-0.3925486877673553,-0.61
1951-04-01,-0.16633800818652664,-0.56
1951-05-01,-0.6887789412432129,-0.23
1951-06-01,0.4058768645852223,-0.23
1951-07-01,-0.8100616789440915,0.44
1951-08-01,-0.22267962922930465,0.43
1951-09-01,-0.7918979882384753,0.69
1951-10-01,-0.9335385188134022,0.64
1951-11-01,-0.4823151495967204,0.74
1951-12-01,-0.5011449382800363,0.43
1952-01-01,-0.9925002736870584,0.18
1952-02-01,-0.9799098066686018,-0.04
1952-03-01,-0.20925747168915493,-0.01
1952-04-01,-1.0097419933570428,0.08
1952-05-01,0.5889559062803456,0.07
1952-06-01,0.6622201474810141,-0.36
1952-07-01,0.3471692909756007,-0.56
1952-08-01,-0.5652636741968604,-0.47
1952-09-01,-0.4221401727186116,-0.29
1952-10-01,0.06556625048530937,-0.25
1952-11-01,-0.20472369659140405,-0.37
1952-12-01,-1.541773771866638,-0.15
1953-01-01,0.2578937719025693,0.18
1953-02-01,-0.7856278127813214,0.36
1953-03-01,-0.8813252639760055,0.35
1953-04-01,-0.07262645427866783,0.4
1953-05-01,-3.2442486362903296,0.38
1953-06-01,-0.3631529841019589,0.33
1953-07-01,-0.10286497510424714,0.24
1953-08-01,-2.004116663060937,0.23
1953-09-01,-1.4081610141050784,0.31
1953-10-01,-0.12176589375816801,0.23
1953-11-01,-0.3435194230940228,0.23
1953-12-01,-0.6106848154997048,0.3
1954-01-01,0.6746917870991513,0.36
1954-02-01,-0.5427753204222762,0.39
1954-03-01,-0.3314516157413348,-0.12
1954-04-01,0.7707775308917418,-0.93
1954-05-01,0.4292390503397759,-0.85
1954-06-01,-0.2777052231366949,-0.76
1954-07-01,0.4114599004155998,-0.91
1954-08-01,0.9421061236607589,-1.2
1954-09-01,0.3790017609079234,-1.45
1954-10-01,0.06556625048523837,-1.28
1954-11-01,0.28106134616795875,-1.07
1954-12-01,1.1967231586244518,-1.32
1955-01-01,-0.5757022584904762,-1.13
1955-02-01,1.4000446184500306,-0.93
1955-03-01,0.0962278884412254,-0.95
1955-04-01,-0.35376111600224425,-1.14
1955-05-01,1.3076817580123188,-1.25
1955-06-01,1.6021455180987232,-1.13
1955-07-01,1.8901439175352144,-0.98
1955-08-01,1.421723786615399,-1.33
1955-09-01,1.3650226022943903,-1.19
1955-10-01,1.4393353082710467,-2.13
1955-11-01,1.4608250214405731,-2.45
1955-12-01,0.8133335883556744,-2.1
1956-01-01,1.2477890579944146,-1.39
1956-02-01,1.1086216276191652,-0.83
1956-03-01,0.8293927527541659,-0.71
1956-04-01,1.239335300431036,-0.83
1956-05-01,1.7868323258335737,-0.68
1956-06-01,1.1749067132725004,-0.7
1956-07-01,1.2472378231353694,-0.91
1956-08-01,1.010622932654223,-1.02
1956-09-01,-0.05238235719867773,-0.92
1956-10-01,1.7515555486768186,-0.95
1956-11-01,0.07286775641391231,-1.1
1956-12-01,0.9228734655753428,-0.98
1957-01-01,0.6225920351995712,-0.58
1957-02-01,-0.3970638250068711,-0.25
1957-03-01,-0.33145161574126536,0.32
1957-04-01,0.11479665353694328,0.55
1957-05-01,-1.2477879370347977,0.68
1957-06-01,-0.3631529841019589,0.59
1957-07-01,0.09000685321567721,0.83
1957-08-01,-1.1819149551385857,0.82
1957-09-01,-1.1616558037584093,0.71
1957-10-01,-0.2466539899205336,0.7
1957-11-01,-1.3844873718640185,1.06
1957-12-01,-0.5559148768898705,1.4
1958-01-01,-1.826096304080163,1.7
1958-02-01,-0.8827688097249616,1.59
1958-03-01,-0.3925486877674248,1.01
1958-04-01,0.11479665353694328,0.55
1958-05-01,-0.8484957971836917,0.44
1958-06-01,-0.1068097012062642,0.36
1958-07-01,0.2185880720956755,0.2
1958-08-01,0.6680388876865897,-0.03
1958-09-01,-0.4221401727186116,-0.32
1958-10-01,-0.3090980380017164,-0.18
1958-11-01,-0.6211108760994181,0.16
1958-12-01,-0.8845345085487515,0.09
1959-01-01,-0.940400521787478,0.47
1959-02-01,-1.6113262868021525,0.42
1959-03-01,0.7071986087019859,0.22
1959-04-01,0.3959313152605197,0.14
1959-05-01,0.26952219439938785,-0.11
1959-06-01,-0.7903917889280843,-0.35
1959-07-01,-0.4886086317441689,-0.72
1959-08-01,-0.7022972921839449,-0.61
1959-09-01,-0.05238235719867773,-0.65
1959-10-01,0.31534244280996954,-0.36
1959-11-01,1.044437841932559,-0.41
1959-12-01,0.7037937111360681,-0.25
1960-01-01,0.049494764304307964,-0.42
1960-02-01,-0.3970638250068711,-0.56
1960-03-01,0.4017132485716057,-0.36
1960-04-01,0.8644890847996006,-0.29
1960-05-01,0.5090974783100153,-0.29
1960-06-01,-0.3631529841019589,-0.45
1960-07-01,0.475750509855599,-0.21
1960-08-01,0.531005269699583,-0.08
1960-09-01,0.6255069712545226,-0.23
1960-10-01,-0.18420994183942174,-0.43
1960-11-01,0.6280506624246239,-0.39
1960-12-01,0.5394838953065654,-0.28
1961-01-01,-0.2631037470931137,-0.29
1961-02-01,0.4772051474856697,-0.22
1961-03-01,-2.592043280706108,-0.33
1961-04-01,1.0519121926153183,-0.29
1961-05-01,0.10980533845890897,-0.06
1961-06-01,-0.4486007450671257,0.17
1961-07-01,0.2185880720956024,-0.12
1961-08-01,-0.1541628202357623,-0.5
1961-09-01,0.009243945387989588,-0.85
1961-10-01,-0.6213182784075593,-0.85
1961-11-01,0.6280506624246239,-0.53
1961-12-01,1.306263035844058,-0.49
1962-01-01,1.872986080789199,-0.55
1962-02-01,0.3800641505420295,-0.55
1962-03-01,-0.3925486877673553,-0.53
1962-04-01,0.11479665353694328,-0.57
1962-05-01,1.2278233300419883,-0.68
1962-06-01,0.4058768645852223,-0.51
1962-07-01,-0.03857436566424799,-0.35
1962-08-01,0.325454842718956,-0.41
1962-09-01,0.4406280634945207,-0.75
1962-10-01,0.9397829236216554,-0.73
1962-11-01,0.4198570726705775,-0.85
1962-12-01,-0.11775536801125885,-0.94
1963-01-01,1.0393900503961533,-0.81
1963-02-01,0.13721165818303946,-0.44
1963-03-01,0.585004464649806,-0.01
1963-04-01,0.6770659769839896,0.07
1963-05-01,0.26952219439938785,-0.2
1963-06-01,-1.13218283278914,0.0
1963-07-01,-0.10286497510432024,0.62
1963-08-01,-0.4282300562097758,0.7
1963-09-01,-0.6070190804785435,0.64
1963-10-01,-1.4330909034627934,0.77
1963-11-01,-1.1068959188587022,0.87
1963-12-01,-1.4322338946470317,1.02
1964-01-01,-0.419403002791795,0.76
1964-02-01,-0.202781831119646,0.44
1964-03-01,0.7071986087019859,-0.22
1964-04-01,1.520469962154506,-0.73
1964-05-01,0.26952219439938785,-0.97
1964-06-01,0.6622201474810141,-1.03
1964-07-01,0.6686223381755233,-0.86
1964-08-01,1.353206977621857,-1.19
1964-09-01,1.3650226022943903,-1.34
1964-10-01,1.1895591159463157,-1.25
1964-11-01,0.14226561966534002,-1.34
1964-12-01,-0.5011449382800363,-1.27
1965-01-01,-0.419403002791795,-0.89
1965-02-01,-0.008499837232420808,-0.46
1965-03-01,0.0962278884412254,-0.21
1965-04-01,-1.4782997628962304,-0.18
1965-05-01,-0.04991151748147908,0.15
1965-06-01,-1.4739738766500985,0.5
1965-07-01,-2.2244550866237804,0.74
1965-08-01,-1.3874653821192124,1.14
1965-09-01,-1.531413619278343,1.2
1965-10-01,-1.2457587592192452,1.47
1965-11-01,-2.009068141126,1.56
1965-12-01,-0.008215490791652597,1.38
1966-01-01,-1.30509878508448,1.08
1966-02-01,-0.5913458188941515,0.83
1966-03-01,-1.7977813443671464,0.89
1966-04-01,-0.8223188855414317,0.45
1966-05-01,-0.9283542251539312,-0.24
1966-06-01,-0.021361940240903127,0.08
1966-07-01,-0.10286497510424714,0.14
1966-08-01,0.2569380337254137,-0.28
1966-09-01,-0.29888756754527696,-0.34
1966-10-01,-0.3715420860828991,-0.39
1966-11-01,-0.13532583334005524,-0.32
1966-12-01,-0.6106848154997048,-0.48
1967-01-01,1.6124873212913573,-0.49
1967-02-01,1.1571921260909854,-0.48
1967-03-01,0.646101536675896,-0.66
1967-04-01,-0.35376111600224425,-0.89
1967-05-01,-0.3693452293624368,-0.42
1967-06-01,0.5767723865157501,-0.07
1967-07-01,0.15429746265567634,-0.11
1967-08-01,0.4624884607060406,-0.31
1967-09-01,0.4406280634945908,-0.72
1967-10-01,-0.12176589375816801,-0.6
1967-11-01,-0.5517130128479903,-0.47
1967-12-01,-0.774994631329083,-0.59
1968-01-01,0.4662927795008308,-0.89
1968-02-01,0.8171986367883551,-1.04
1968-03-01,-0.5758399038456252,-0.95
1968-04-01,-0.35376111600224425,-0.71
1968-05-01,1.4673986139527069,-0.76
1968-06-01,1.1749067132724034,0.0
1968-07-01,0.7329129476154493,0.33
1968-08-01,-0.1541628202357623,0.19
1968-09-01,-0.36051387013194425,0.07
1968-10-01,-0.3090980380017164,0.2
1968-11-01,-0.4823151495966415,0.65
1968-12-01,0.04655444781818165,0.73
1969-01-01,-1.4613980407831613,0.88
1969-02-01,-0.8827688097249616,1.12
1969-03-01,-0.025966255610885062,0.69
1969-04-01,-1.0097419933570428,0.6
1969-05-01,-0.6887789412433036,0.59
1969-06-01,-0.19225746217152812,0.3
1969-07-01,-0.6814804600641663,0.02
1969-08-01,-0.6337804831904027,0.23
1969-09-01,-1.1616558037584093,0.51
1969-10-01,-1.308202807300428,0.72
1969-11-01,-0.13532583334005524,0.61
1969-12-01,0.2108642636476844,0.61
1970-01-01,-1.0966997774862186,0.38
1970-02-01,-1.271332797499467,0.2
1970-03-01,-0.02596625561095452,0.02
1970-04-01,-0.5411842238179618,0.16
1970-05-01,0.1896637664291484,-0.14
1970-06-01,0.9185634303767088,-0.55
1970-07-01,-0.5528992411841679,-0.8
1970-08-01,0.2569380337254137,-1.07
1970-09-01,1.2417699971210556,-0.96
1970-10-01,0.9397829236215844,-1.0
1970-11-01,1.946610064199936,-0.9
1970-12-01,1.6896526061128978,-1.22
1971-01-01,0.3099935238021495,-1.58
1971-02-01,1.4486151169218506,-1.43
1971-03-01,1.9291400492235071,-1.23
1971-04-01,2.5512970551407395,-1.02
1971-05-01,0.9083896181612124,-0.85
1971-06-01,0.1495335816895276,-0.99
1971-07-01,0.15429746265567634,-0.99
1971-08-01,1.421723786615399,-0.94
1971-09-01,1.5499015100543223,-0.88
1971-10-01,1.689111500595636,-1.13
1971-11-01,0.6280506624246239,-1.04
1971-12-01,0.046554447818243916,-1.14
1972-01-01,0.4141930276013098,-0.83
1972-02-01,0.6714871413728949,-0.41
1972-03-01,0.035130816415135435,-0.12
1972-04-01,-0.6348957777258207,0.13
1972-05-01,-1.6470800768859044,0.35
1972-06-01,-1.3885261156848343,0.54
1972-07-01,-1.8387114299838585,0.9
1972-08-01,-1.1133981461450428,1.17
1972-09-01,-1.5930399218650104,1.27
1972-10-01,-1.2457587592192452,1.68
1972-11-01,-0.4823151495966415,1.96
1972-12-01,-1.4870038332568036,2.12
1973-01-01,-0.3152034989926347,1.77
1973-02-01,-1.5627557883302772,1.17
1973-03-01,-0.14816039966306496,0.39
1973-04-01,-0.26004956209438546,-0.41
1973-05-01,0.26952219439938785,-0.79
1973-06-01,1.1749067132725004,-0.95
1973-07-01,0.6043317287355242,-1.33
1973-08-01,1.147656550641308,-1.47
1973-09-01,1.3033962997077229,-1.51
1973-10-01,0.8773388755404726,-1.76
1973-11-01,3.195771602723978,-2.24
1973-12-01,1.6348826675030013,-2.25
1974-01-01,2.2897840959857216,-2.15
1974-02-01,1.497185615393671,-1.71
1974-03-01,2.0513341932756872,-1.42
1974-04-01,1.239335300431036,-1.17
1974-05-01,1.0681064741016004,-1.07
1974-06-01,0.1495335816895276,-0.98
1974-07-01,1.1829472136953705,-0.8
1974-08-01,0.531005269699505,-0.56
1974-09-01,1.1801436945343884,-0.59
1974-10-01,0.752450779378107,-0.87
1974-11-01,-0.27412155984267395,-1.11
1974-12-01,-0.2820651838407616,-0.99
1975-01-01,-0.5236025065909553,-0.49
1975-02-01,0.3800641505420847,-0.61
1975-03-01,1.0737810408584565,-0.89
1975-04-01,1.6141815160623647,-0.81
1975-05-01,0.5889559062802547,-0.94
1975-06-01,1.5166977571334588,-1.4
1975-07-01,2.0830157458552123,-1.3
1975-08-01,2.0383750675572023,-1.46
1975-09-01,2.2277908385075227,-1.62
1975-10-01,1.6891115005957067,-1.92
1975-11-01,1.3220292949379544,-1.64
1975-12-01,1.9087323605521105,-1.93
1976-01-01,1.2998888098939356,-1.95
1976-02-01,1.1571921260910405,-1.25
1976-03-01,1.2570722569366566,-0.72
1976-04-01,0.11479665353694328,-0.8
1976-05-01,0.1896637664291484,-0.64
1976-06-01,-0.10680970120616706,-0.35
1976-07-01,-1.2600959450240126,-0.02
1976-08-01,-1.4559821911127546,0.16
1976-09-01,-1.4081610141050085,0.3
1976-10-01,0.19045434664760394,0.7
1976-11-01,0.9056421154299404,0.68
1976-12-01,-0.5011449382800363,0.48
1977-01-01,-0.419403002791795,0.64
1977-02-01,0.6229166429010747,0.32
1977-03-01,-1.3090047681585657,0.24
1977-04-01,-1.1034535472649016,-0.18
1977-05-01,-1.1679295090645587,0.06
1977-06-01,-1.986660442441585,0.27
1977-07-01,-1.4529677733440098,0.28
1977-08-01,-1.4559821911127546,0.0
1977-09-01,-1.0384031985851447,0.38
1977-10-01,-1.4330909034627226,0.59
1977-11-01,-1.6620788248693348,0.54
1977-12-01,-1.3226940174273631,0.68
1978-01-01,-0.3152034989926939,0.65
1978-02-01,-2.6798772531818638,0.34
1978-03-01,-0.8813252639760055,-0.09
1978-04-01,-0.9160304394492906,-0.54
1978-05-01,1.6271154698931856,-0.55
1978-06-01,0.4913246255504862,-0.53
1978-07-01,0.6043317287355242,-0.47
1978-08-01,-0.017129202248677682,-0.7
1978-09-01,0.009243945387989588,-0.62
1978-10-01,-0.7462063745698538,-0.38
1978-11-01,-0.3435194230940228,-0.3
1978-12-01,-0.2820651838406993,-0.2
1979-01-01,-0.419403002791795,-0.22
1979-02-01,0.5257756459574898,-0.22
1979-03-01,-0.5758399038456252,0.15
1979-04-01,-0.6348957777258207,0.07
1979-05-01,0.34938062236953643,-0.17
1979-06-01,0.4913246255504862,-0.14
1979-07-01,-0.8100616789441646,-0.33
1979-08-01,-0.7022972921838672,-0.16
1979-09-01,0.07087024797458684,0.33
1979-10-01,-0.3715420860828991,0.22
1979-11-01,-0.6211108760994181,0.35
1979-12-01,-0.9940743857684201,0.4
1980-01-01,0.3620932757017297,0.43
1980-02-01,-0.057070335704185675,0.2
1980-03-01,-1.1868106241063858,0.05
1980-04-01,-1.4782997628963368,-0.01
1980-05-01,-0.369345229362346,0.07
1980-06-01,-0.6194962669976535,0.3
1980-07-01,-0.16715558454431936,0.07
1980-08-01,-0.017129202248677682,-0.31
1980-09-01,-0.6070190804785435,-0.26
1980-10-01,-0.30909803800178737,-0.27
1980-11-01,-0.4823151495967204,-0.11
1980-12-01,-0.2820651838406993,-0.1
1981-01-01,0.3099935238021495,-0.5
1981-02-01,-0.4942048219505113,-0.7
1981-03-01,-2.1032667044975266,-0.58
1981-04-01,-0.6348957777257141,-0.48
1981-05-01,0.7486727622207335,-0.5
1981-06-01,1.0894589523072369,-0.34
1981-07-01,0.9257847759354468,-0.62
1981-08-01,0.4624884607060406,-0.68
1981-09-01,0.6871332738411199,-0.29
1981-10-01,-0.6213182784075593,-0.26
1981-11-01,0.14226561966534002,-0.33
1981-12-01,0.32040414086729063,-0.22
1982-01-01,1.0393900503960942,0.02
1982-02-01,-0.10564083417600577,-0.12
