         NZ   AusB  Nin3  Nin4  NCal NEPac   IO    EI0   B+T  ZNZn  ZNZs
 199801  -2.7  92.1 364.6 101.0  29.1 -60.6  74.0 121.4 -19.5  15.1 -72.5
 199802 148.0  84.0 275.3  93.0  82.2 -96.8  83.6 121.6 131.6 150.9 136.7
 199803 110.8  22.3 230.7  62.0  60.0 -80.7 128.3 136.4  76.3 117.5  84.7
 199804 126.8   7.6 187.1  21.9 101.8 -43.6 153.5 146.4  78.8 147.1  47.5
 199805  88.3   5.8 144.3  16.5 126.8 -11.2 139.1 135.1  50.7 112.9  -7.7
 199806  69.3  37.9 -25.8   2.5 110.2 -26.1  82.0  88.4  48.6  92.9 -23.1
 199807 100.6  61.4 -21.1 -48.7 106.5   5.2  72.9  65.1  88.2 115.4  42.9
 199808  83.1  40.8 -22.5 -68.0 110.7  28.5  73.8  40.1  68.9  99.7  18.3
 199809  80.3  48.2 -49.6 -46.3  85.8  14.1  56.3  25.5  50.3 100.6   1.0
 199810  68.5  15.0 -63.0-108.5 125.1  39.8  42.9  20.7  45.9  89.8 -15.1
 199811  80.7  32.9 -69.9-113.9 105.3 136.4  50.8  12.1  62.3  93.8  29.1
 199812  50.5  33.7-110.1-121.8  90.4  96.0  22.2   2.4  41.4  58.4  19.7
 199901  80.3  97.9-103.4-161.0  88.3  61.8  25.8  30.8  88.3  74.3 104.0
 199902  60.7  94.1 -69.0-163.7  50.0  49.4  15.9  47.6  89.8  45.2 121.4
 199903  71.0  90.7 -24.5-127.5  91.3  40.0  29.1  27.9  84.8  59.0 117.7
 199904  93.7  35.1 -60.4-106.5 113.6  52.7  49.0  28.5  95.5  86.2 123.3
 199905  60.2  39.7 -26.7 -73.4  48.6  20.9  38.0 -11.5  69.6  52.4  90.7
 199906 106.4  52.8 -55.3 -57.5  38.4  56.6  50.8  -1.6  98.9 100.4 129.8
 199907  94.6  55.4 -50.8 -56.3  26.0  65.9  50.3  40.4  78.7  92.7 102.1
 199908  59.4  39.3 -76.7 -65.7  13.2  38.8  34.9  52.7  51.6  58.3  63.9
 199909  83.1  79.3 -88.7 -45.6  30.2  13.3  35.6  66.1  79.2  79.5  97.0
 199910  64.6 104.3 -88.9 -45.4  39.6  -9.8  62.3  44.4  60.7  67.9  51.4
 199911  60.1  49.8-130.3 -71.5  29.2  -5.2  75.5  63.2  65.5  55.2  79.1
 199912 -23.8  46.5-137.5-104.0 -20.8  60.0  57.0  56.1 -15.5 -27.3 -10.0
 200001 -21.6  32.4-152.7-118.1  -6.7  50.7  69.6  44.8 -13.6 -29.2   7.9
 200002  -4.0  43.7 -93.6-146.0   9.1  82.6  31.1   3.3  -7.5  -4.7  -1.2
 200003   1.8  64.0 -29.0-141.3   2.0 140.0   0.1 -15.5 -15.0   5.3 -12.1
 200004  31.3  66.0  23.6-102.8  29.1  81.6  40.8  41.0  23.0  32.1  27.9
 200005  50.9  41.8  10.0 -78.6  43.0  40.1  18.7  46.5  50.5  48.4  60.7
 200006  47.7  22.8 -28.6 -46.7  17.3  26.4  39.7  31.5  56.4  41.0  74.3
 200007  76.5  59.4 -20.9 -27.1  18.7 -13.3  55.5  65.2  80.7  74.7  83.6
 200008  59.3  58.3 -29.7  -1.9  22.8   3.5  61.2  69.4  61.3  59.7  57.6
 200009  45.7  50.3 -21.8  19.5  44.8  13.1  54.4  64.1  48.4  48.6  34.3
 200010  40.7  53.8 -18.6 -12.6  29.9   4.6  62.6  83.3  47.1  40.1  43.3
 200011  -5.7 101.5 -56.1 -17.3   9.8  76.1  46.9  80.8   5.2 -10.8  14.2
 200012  21.6 142.4 -44.6 -68.5  15.9  58.5  43.7  64.5  40.3  14.4  49.5
 200101  29.6 101.2 -35.7 -64.1  44.6  43.7  21.6  34.6  17.9  35.9   4.7
 200102  28.9 101.5 -14.4 -82.9  67.8  77.1  -4.5  46.7   8.8  35.3   4.0
 200103  35.0 106.9  35.6 -51.8  97.8  48.3  14.2  89.1  39.2  34.2  38.3
 200104  34.1  68.3  27.2 -17.3  63.6  26.8  30.5  34.8  45.3  29.1  53.7
 200105  91.8  89.3  16.9   8.3  75.7  -9.6  58.6  59.9 101.2  85.0 118.7
 200106  75.4 104.7  20.9  29.7  39.2  21.9  78.6  74.0  78.8  71.2  91.6
 200107  63.9 103.2   7.4  64.1  14.7  23.2  91.0  80.0  64.4  59.2  82.2
 200108  76.5  80.2  -6.3  64.5  26.5  28.4  93.0  86.0  72.5  74.1  86.1
 200109  82.3  97.4 -33.2  91.3  34.5  -8.2  80.0  63.7  82.1  77.1 102.5
 200110  96.4  64.4 -15.6  73.8  48.8   9.3  77.2  77.9  91.8  91.3 116.5
 200111  87.0  23.4 -37.0  72.5  64.9  98.3  31.3  56.8  79.6  84.1  98.6
 200112 109.9  10.0 -25.9  38.9  95.5  24.9  55.6 106.3 104.6 104.7 130.2
 200201  83.0  10.0 -24.0  79.3 107.6 131.9  63.9  89.6  79.0  75.0 114.4
 200202  48.9   1.6   5.2  77.0 110.1 164.7  35.6  65.1  56.5  40.3  82.8
 200203  45.3   4.4  39.7  62.8  78.7  78.3  80.4  77.9  41.3  47.5  36.8
 200204  30.2  39.0  33.7  78.8  63.9  87.4 102.2  74.8  21.9  34.6  13.1
 200205  60.3  99.4  52.3  93.6  56.3  53.6  96.6  62.7  55.4  64.0  45.6
 200206  38.3  57.5  93.7 114.5  72.9  23.2 107.8 108.7  29.1  44.0  16.2
 200207  39.8  44.3  66.2 109.7  43.8  10.9  90.3  88.9  27.7  44.6  21.2
 200208  30.8  58.2  70.1 111.9  23.1  -0.9  71.7  72.8  24.7  29.1  37.3
 200209  53.8  48.1  98.8 124.8  47.0  -0.8  38.8  73.3  42.0  52.6  58.5
 200210   5.9  14.3 127.7 135.9  26.2  -3.5  38.4  92.9   0.5   4.7  10.7
 200211 -22.1   9.9 171.7 168.9   9.8   9.0  40.9  94.6 -24.7 -21.4 -24.9
 200212  22.9  21.8 166.5 135.2  -4.3  -4.9  69.7  84.6  15.2  22.2  26.0
 200301  23.5  42.4 106.7 124.7  39.0  18.4  71.8 105.2  10.3  22.0  29.3
 200302   2.8  61.2  50.9 105.1  15.0  39.5  70.6  97.9 -10.9   1.1   9.5
 200303  17.4  32.0  43.3  96.9  59.8   1.9  49.9  76.4  10.0  11.4  41.2
 200304  49.6  56.5 -10.0  62.6  70.5  13.6  57.8  91.9  37.9  45.9  64.0
 200305  46.3  50.6 -62.5  36.0  78.2  19.8  50.9  61.7  28.6  49.3  34.8
 200306  58.9  54.7 -35.0  56.3  50.9  18.3  65.6  82.4  43.9  56.8  67.0
 200307  70.2  52.7  38.7  67.4  39.6  52.2  65.2 112.1  51.2  69.0  74.7
 200308  49.7  43.5  25.1  71.5  10.6  51.6  50.2 118.7  40.9  44.3  70.8
 200309  43.6   9.7  39.5  77.6  21.1  78.9  34.1 105.6  30.8  41.3  52.3
 200310   3.5  -2.1  73.1  95.6  29.8  57.1  44.8  79.0  -1.2  -0.1  17.3
 200311  -9.6   7.8  69.7 109.6  -2.2  51.4  30.1  69.7 -15.4  -6.4 -22.3
 200312  28.5  27.6  71.7  80.4  36.4  28.4   6.9  55.3   4.0  39.2 -13.6
 200401  63.8   6.9  58.6  77.3  68.9  56.1  42.2 102.9  44.3  67.0  51.2
 200402  67.6   9.4  26.6  54.9 131.8 185.5  54.6  73.4  33.1  75.3  37.9
 200403 -29.7 -30.6  28.7  32.7  74.1 124.7  36.6  61.0 -49.3 -21.4 -62.5
 200404 -23.0   0.8   8.1  41.7  30.4 110.0  62.9  93.4 -48.4 -14.0 -58.4
 200405  32.8  -0.8  -4.2  63.8  47.1 123.7  62.0  62.4  13.3  36.3  19.3
 200406  24.6  -1.2  11.2  66.3  12.7 116.3  53.6  54.2  12.2  21.9  35.3
 200407  27.9  -6.6   2.5  98.0  24.2  69.6  38.8  39.7  12.3  27.3  30.0
 200408  17.5   6.0  29.2 102.7  10.7  51.9  11.3  38.3   8.1  15.2  26.4
 200409  -8.0  14.4  60.6 140.3  -8.5  47.3   9.2  22.7 -16.1  -6.0 -15.9
